Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,Reactome_2022,1.1300938818537578,Upregulated,0.4071489145412686,3/16,6.34%
Positive Regulation of Neutrophil Migration (GO:1902624),GO_Biological_Process_2025,1.1298522012700745,Upregulated,0.4073961264691985,8/17,29.48%
Maturation of SSU-rRNA (GO:0030490),GO_Biological_Process_2025,1.12978215556031,Upregulated,0.4073297055268605,18/37,38.20%
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,Reactome_2022,1.1296471281885367,Upregulated,0.4073858539073615,7/19,23.46%
Positive Regulation of Cartilage Development (GO:0061036),GO_Biological_Process_2025,1.1292933852718945,Upregulated,0.4078329415225546,7/16,24.59%
Long-Chain fatty-acyl-CoA Biosynthetic Process (GO:0035338),GO_Biological_Process_2025,1.1288856190040726,Upregulated,0.4084055377415881,10/17,26.02%
Notch-HLH Transcription Pathway R-HSA-350054,Reactome_2022,1.1286513391148036,Upregulated,0.4086713202403895,9/24,29.85%
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948,Reactome_2022,1.1284879926418383,Upregulated,0.4087853097874998,6/26,12.50%
Wnt Beta Catenin Signaling In Leukemia WP3658,WikiPathways_2024_Human,1.127636517275716,Upregulated,0.4101561163412743,7/22,16.40%
Degradation Of GLI1 By Proteasome R-HSA-5610780,Reactome_2022,1.1272762992834555,Upregulated,0.4106079945573335,31/56,43.86%
Negative Regulation of JNK Cascade (GO:0046329),GO_Biological_Process_2025,1.1270230740114362,Upregulated,0.4109024456414825,9/26,15.32%
Nicotinamide Salvaging R-HSA-197264,Reactome_2022,1.1269226388366418,Upregulated,0.4109245700481136,6/19,18.33%
Cellular Response to Vascular Endothelial Growth Factor Stimulus (GO:0035924),GO_Biological_Process_2025,1.1267123536142114,Upregulated,0.4111397422462958,9/33,19.86%
Androgen Receptor Signaling WP138,WikiPathways_2024_Human,1.1258833975826903,Upregulated,0.4124551201362689,18/72,18.72%
Aldosterone synthesis and secretion,KEGG_2021_Human,1.125480616754554,Upregulated,0.4129916588161424,24/89,15.51%
Metabolism Of Steroid Hormones R-HSA-196071,Reactome_2022,1.1254716246489775,Upregulated,0.412823064769934,8/28,17.00%
