Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Negative Regulation of Response to Endoplasmic Reticulum Stress (GO:1903573),GO_Biological_Process_2025,1.637086467105055,Upregulated,0.2096372355315733,14/29,22.29%
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Reactome_2022,1.6347311531679396,Upregulated,0.2115716709469837,6/27,8.07%
Platelet Alpha Granule Lumen (GO:0031093),GO_Cellular_Component_2025,1.6335148826339054,Upregulated,0.2118516793529224,14/60,8.52%
Regulation of Cardiac Muscle Contraction by Calcium Ion Signaling (GO:0010882),GO_Biological_Process_2025,1.629666552777291,Upregulated,0.2161430661397071,11/20,17.08%
Transport Vesicle Membrane (GO:0030658),GO_Cellular_Component_2025,1.6265598786402329,Upregulated,0.2195380761203778,18/47,18.38%
Sarcoplasmic Reticulum (GO:0016529),GO_Cellular_Component_2025,1.6228941400397778,Upregulated,0.2238847538274727,17/43,17.08%
Core Mediator Complex (GO:0070847),GO_Cellular_Component_2025,1.6222501559430254,Upregulated,0.2231226269800071,14/24,28.20%
Burn Wound Healing WP5055,WikiPathways_2024_Human,1.621801082434615,Upregulated,0.2219566636140915,18/63,16.04%
Antibacterial Humoral Response (GO:0019731),GO_Biological_Process_2025,1.6186050935233602,Upregulated,0.2258267057473038,8/27,14.31%
Post-translational Protein Phosphorylation R-HSA-8957275,Reactome_2022,1.6171733004945632,Upregulated,0.2263040573147408,26/91,14.29%
Dolichol-Linked Oligosaccharide Biosynthetic Process (GO:0006488),GO_Biological_Process_2025,1.6140908645932597,Upregulated,0.2299099381546664,9/20,14.93%
HS-GAG Biosynthesis R-HSA-2022928,Reactome_2022,1.6118309558465642,Upregulated,0.2316485905686977,12/26,22.37%
Epithelial Cell Morphogenesis (GO:0003382),GO_Biological_Process_2025,1.6112427679203614,Upregulated,0.2309067282514607,8/17,17.25%
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,Reactome_2022,1.6112413253163151,Upregulated,0.2290140501510388,28/102,14.29%
Adherens Junctions Interactions R-HSA-418990,Reactome_2022,1.6065205269007918,Upregulated,0.2359674176062116,7/25,9.18%
